,date,state,cases,deaths
602,8/4/2020,WV,7051,124
603,8/4/2020,WI,60263,970
604,8/4/2020,WY,2884,27
605,8/5/2020,AL,94654,1695
606,8/5/2020,AK,4181,23
607,8/5/2020,AZ,182230,3933
608,8/5/2020,AR,46293,508
609,8/5/2020,CA,532776,9866
610,8/5/2020,CO,49143,1857
611,8/5/2020,CT,50225,4437
612,8/5/2020,DE,15296,587
613,8/5/2020,DC,12443,587
614,8/5/2020,FL,502731,7626
615,8/5/2020,GA,186395,3899
616,8/5/2020,GU,1358,6
617,8/5/2020,HI,2740,26
618,8/5/2020,ID,22854,218
619,8/5/2020,IL,188474,7776
620,8/5/2020,IN,71685,3007
621,8/5/2020,IA,46836,900
622,8/5/2020,KS,30047,371
623,8/5/2020,KY,33823,771
624,8/5/2020,LA,126061,4096
625,8/5/2020,ME,3992,124
626,8/5/2020,MD,93000,3536
627,8/5/2020,MA,119643,8659
628,8/5/2020,MI,94045,6480
629,8/5/2020,MN,57820,1670
630,8/5/2020,MS,63444,1804
631,8/5/2020,MO,55919,1337
632,8/5/2020,MT,4481,65
633,8/5/2020,NE,27489,342
634,8/5/2020,NV,52919,891
635,8/5/2020,NH,6719,418
636,8/5/2020,NJ,185180,15842
637,8/5/2020,NM,21566,667
638,8/5/2020,NY,422935,32431
639,8/5/2020,NC,129454,2079
640,8/5/2020,ND,7061,112
641,8/5/2020,MP,46,2
642,8/5/2020,OH,96305,3596
643,8/5/2020,OK,40555,583
644,8/5/2020,OR,19979,342
645,8/5/2020,PA,120492,7310
646,8/5/2020,PR,19651,246
647,8/5/2020,RI,19481,1012
648,8/5/2020,SC,95472,1894
649,8/5/2020,SD,9168,137
650,8/5/2020,TN,111305,1130
651,8/5/2020,TX,480789,8149
652,8/5/2020,UT,42478,330
653,8/5/2020,VT,1436,57
654,8/5/2020,VI,501,9
655,8/5/2020,VA,94870,2270
656,8/5/2020,WA,62390,1705
657,8/5/2020,WV,7159,124
658,8/5/2020,WI,61247,979
659,8/5/2020,WY,2923,27
660,8/6/2020,AL,96592,1714
661,8/6/2020,AK,4221,23
662,8/6/2020,AZ,183744,4005
663,8/6/2020,AR,47028,515
664,8/6/2020,CA,541013,10014
665,8/6/2020,CO,49633,1857
666,8/6/2020,CT,50245,4437
667,8/6/2020,DE,15365,587
668,8/6/2020,DC,12518,587
669,8/6/2020,FL,510381,7746
670,8/6/2020,GA,189300,3942
671,8/6/2020,GU,1366,6
672,8/6/2020,HI,2891,28
673,8/6/2020,ID,23510,227
674,8/6/2020,IL,190465,7796
675,8/6/2020,IN,72741,3013
676,8/6/2020,IA,47559,912
677,8/6/2020,KS,30153,376
678,8/6/2020,KY,34435,780
679,8/6/2020,LA,127364,4146
680,8/6/2020,ME,3997,124
681,8/6/2020,MD,93598,3551
682,8/6/2020,MA,119874,8691
683,8/6/2020,MI,94819,6508
684,8/6/2020,MN,58681,1677
685,8/6/2020,MS,64400,1825
686,8/6/2020,MO,57145,1349
687,8/6/2020,MT,4621,66
688,8/6/2020,NE,27821,347
689,8/6/2020,NV,53705,901
690,8/6/2020,NH,6742,419
691,8/6/2020,NJ,185554,15849
692,8/6/2020,NM,21773,669
693,8/6/2020,NY,423629,32329
694,8/6/2020,NC,131478,2122
695,8/6/2020,ND,7181,113
696,8/6/2020,MP,47,2
697,8/6/2020,OH,97471,3618
698,8/6/2020,OK,41395,593
699,8/6/2020,OR,20250,343
700,8/6/2020,PA,121294,7340
701,8/6/2020,PR,19934,258
702,8/6/2020,RI,19611,1014
703,8/6/2020,SC,96797,1943
704,8/6/2020,SD,9273,141
705,8/6/2020,TN,113519,1170
706,8/6/2020,TX,488240,8397
707,8/6/2020,UT,43032,332
708,8/6/2020,VT,1445,58
709,8/6/2020,VI,522,9
710,8/6/2020,VA,95867,2299
711,8/6/2020,WA,63057,1716
712,8/6/2020,WV,7277,124
713,8/6/2020,WI,62139,988
714,8/6/2020,WY,2958,27
715,8/7/2020,AL,98301,1735
716,8/7/2020,AK,4286,23
717,8/7/2020,AZ,185104,4085
718,8/7/2020,AR,48039,521
719,8/7/2020,CA,548142,10197
720,8/7/2020,CO,50081,1862
721,8/7/2020,CT,50320,4441
722,8/7/2020,DE,15445,588
723,8/7/2020,DC,12589,589
724,8/7/2020,FL,518067,7926
725,8/7/2020,GA,193276,4029
726,8/7/2020,GU,1380,6
727,8/7/2020,HI,3092,30
728,8/7/2020,ID,24073,231
729,8/7/2020,IL,192482,7833
730,8/7/2020,IN,73986,3023
731,8/7/2020,IA,47920,915
732,8/7/2020,KS,30966,380
733,8/7/2020,KY,35147,785
734,8/7/2020,LA,128864,4207
735,8/7/2020,ME,4014,124
736,8/7/2020,MD,94395,3565
737,8/7/2020,MA,120291,8709
738,8/7/2020,MI,95632,6527
739,8/7/2020,MN,59226,1681
740,8/7/2020,MS,65436,1848
741,8/7/2020,MO,58284,1374
742,8/7/2020,MT,4771,71
743,8/7/2020,NE,28104,352
744,8/7/2020,NV,54633,920
745,8/7/2020,NH,6779,419
746,8/7/2020,NJ,185914,15860
747,8/7/2020,NM,21965,675
748,8/7/2020,NY,424349,32336
749,8/7/2020,NC,133033,2160
750,8/7/2020,ND,7331,114
751,8/7/2020,MP,47,2
752,8/7/2020,OH,98675,3652
753,8/7/2020,OK,42234,600
754,8/7/2020,OR,20658,351
755,8/7/2020,PA,122078,7360
756,8/7/2020,PR,20686,265
757,8/7/2020,RI,19738,1014
758,8/7/2020,SC,98219,1962
759,8/7/2020,SD,9371,144
760,8/7/2020,TN,115940,1190
761,8/7/2020,TX,496237,8675
762,8/7/2020,UT,43530,337
763,8/7/2020,VT,1448,58
764,8/7/2020,VI,528,9
765,8/7/2020,VA,97882,2317
766,8/7/2020,WA,63976,1744
767,8/7/2020,WV,7433,127
768,8/7/2020,WI,63256,1001
769,8/7/2020,WY,3000,28
770,8/8/2020,AL,100173,1755
771,8/8/2020,AK,4371,24
772,8/8/2020,AZ,186226,4140
773,8/8/2020,AR,48811,535
774,8/8/2020,CA,556158,10299
775,8/8/2020,CO,50491,1862
776,8/8/2020,CT,50320,4441
777,8/8/2020,DE,15502,590
778,8/8/2020,DC,12653,590
779,8/8/2020,FL,526569,8108
780,8/8/2020,GA,197308,4095
781,8/8/2020,GU,1381,6
782,8/8/2020,HI,3323,30
783,8/8/2020,ID,24593,236
784,8/8/2020,IL,194531,7846
785,8/8/2020,IN,75025,3036
786,8/8/2020,IA,48311,926
787,8/8/2020,KS,30992,380
788,8/8/2020,KY,35986,790
789,8/8/2020,LA,128864,4207
790,8/8/2020,ME,4026,125
791,8/8/2020,MD,95157,3577
