date,state,cases,deaths
8/6/2020,Wisconsin,62139,988
8/6/2020,Wyoming,2958,27
8/7/2020,Alabama,98301,1735
8/7/2020,Alaska,4286,23
8/7/2020,Arizona,185104,4085
8/7/2020,Arkansas,48039,521
8/7/2020,California,548142,10197
8/7/2020,Colorado,50081,1862
8/7/2020,Connecticut,50320,4441
8/7/2020,Delaware,15445,588
8/7/2020,District of Columbia,12589,589
8/7/2020,Florida,518067,7926
8/7/2020,Georgia,193276,4029
8/7/2020,Guam,1380,6
8/7/2020,Hawaii,3092,30
8/7/2020,Idaho,24073,231
8/7/2020,Illinois,192482,7833
8/7/2020,Indiana,73986,3023
8/7/2020,Iowa,47920,915
8/7/2020,Kansas,30966,380
8/7/2020,Kentucky,35147,785
8/7/2020,Louisiana,128864,4207
8/7/2020,Maine,4014,124
8/7/2020,Maryland,94395,3565
8/7/2020,Massachusetts,120291,8709
8/7/2020,Michigan,95632,6527
8/7/2020,Minnesota,59226,1681
8/7/2020,Mississippi,65436,1848
8/7/2020,Missouri,58284,1374
8/7/2020,Montana,4771,71
8/7/2020,Nebraska,28104,352
8/7/2020,Nevada,54633,920
8/7/2020,New Hampshire,6779,419
8/7/2020,New Jersey,185914,15860
8/7/2020,New Mexico,21965,675
8/7/2020,New York,424349,32336
8/7/2020,North Carolina,133033,2160
8/7/2020,North Dakota,7331,114
8/7/2020,Northern Mariana Islands,47,2
8/7/2020,Ohio,98675,3652
8/7/2020,Oklahoma,42234,600
8/7/2020,Oregon,20658,351
8/7/2020,Pennsylvania,122078,7360
8/7/2020,Puerto Rico,20686,265
8/7/2020,Rhode Island,19738,1014
8/7/2020,South Carolina,98219,1962
8/7/2020,South Dakota,9371,144
8/7/2020,Tennessee,115940,1190
8/7/2020,Texas,496237,8675
8/7/2020,Utah,43530,337
8/7/2020,Vermont,1448,58
8/7/2020,Virgin Islands,528,9
8/7/2020,Virginia,97882,2317
8/7/2020,Washington,63976,1744
8/7/2020,West Virginia,7433,127
8/7/2020,Wisconsin,63256,1001
8/7/2020,Wyoming,3000,28
8/8/2020,Alabama,100173,1755
8/8/2020,Alaska,4371,24
